id;start;jhi_end;text;nb_day;nb_adult;nb_child
1;2020-01-23;2020-01-23;Cote d'Ivoire Oregon;58358;30225;88961
2;2020-01-22;2020-01-22;GB Administrator;71345;51659;68106
3;2020-01-22;2020-01-23;Toys transmitting applications;20425;97981;8841
4;2020-01-23;2020-01-23;Facilitator partnerships;2735;49358;50729
5;2020-01-22;2020-01-23;bleeding-edge haptic schemas;85472;42939;47420
6;2020-01-23;2020-01-23;markets Home Loan Account mint green;70630;57060;95666
7;2020-01-23;2020-01-23;firewall Niue Sports;44084;14957;14967
8;2020-01-23;2020-01-23;Wooden;90351;69382;62447
9;2020-01-23;2020-01-23;Savings Account Argentine Peso Field;5243;91480;94139
10;2020-01-22;2020-01-23;Metal green synergies;29395;92924;98803
